Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
40,CQ0VMO,145.7500,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM59LE - RV60 - Associação de Radioamadores do Ribatejo,,,,
41,CQ1VPB,145.7500,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM77JS - RV60 - Associação de Radioamadores dos Açores,,,,
42,CQ0VSP,145.7500,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,IM67EW - RV60 - Rede dos Emissores Portugueses,,,,
43,CQ0VBA,145.7625,-,0.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IN51TE - RV61 - Associação de Radioamadores da Beira Alta,,,,
44,CQ0VFD,145.7625,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,IM57QH - RV61 - Radioamador Clube de Loulé,,,,
45,CQ0VDLX,145.7750,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58JS - RV62 - Associação de Radioamadores da Região de Lisboa,,,,
46,CQ0VMI,145.7750,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN61DN - RV62 - Associação de Radioamadores do Alto Tâmega,,,,
47,CQ1VSC,145.7750,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM77CT - RV62 - Associação de Radioamadores dos Açores,,,,
48,CQ1VPV,145.7750,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,HM58OO - RV62 - Clube de Radioamadores dos Açores,,,,
49,CQ0VTM,145.7750,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,IN50TG - RV62 - Tertúlia Radioamadorística Guglielmo Marconi,,,,
50,CQ1VFLW,145.7875,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM49JK - RV63 - União de Radioamadores dos Açores,,,,
51,CQ1UPA,438.6500,-,7.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM76KX - RU692 - Associação de Radioamadores Marienses,,,,
52,CQ0USA,438.6500,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,IN51PT - RU692 - Associação de Radioamadores do Alto Minho,,,,
53,CQ2UMAD,438.6500,-,7.600000,Tone,82.5,82.5,023,NN,FM,12.50,,IM12NP - RU692 - Rede dos Emissores Portugueses,,,,
54,CQ0UCAN,438.6500,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM59MK - RU692 - Rede dos Emissores Portugueses,,,,
55,CQ0UMST,438.6500,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58JR - RU692 - Rede dos Emissores Portugueses,,,,
56,CQ0UAT,438.6750,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,IN61HU - RU694 - Associação de Radioamadores do Alto Tâmega,,,,
57,CQ1UDX,438.6750,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,HM68IR - RU694 - Azores DX Group,,,,
58,CQ0UFO,438.6750,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM57QH - RU694 - Radioamador Clube de Loulé,,,,
59,CQ0UM,438.6750,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM59LE - RU694 - Rede dos Emissores Portugueses,,,,
60,CQ0UCA,438.7000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IN50TI - RU696 - Associação de Radioamadores da Costa de Prata,,,,
