Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
48,CQ0ULO,438.8500,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,"Alto do Trevim - Serra da Lousã",,,,
49,CQ0URBL,438.8750,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,"São Tomé - Oliveira de Azeméis",,,,
50,CQ0UAI,438.8750,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,"Serra de Aire",,,,
51,CQ0UCO,438.9000,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,"Serra de Côta - Viseu",,,,
52,CQ0UCP,438.9000,-,7.600000,Tone,82.5,82.5,023,NN,FM,12.50,,"Serra da Brenha - Figueira da Foz",,,,
53,CQ0USTC,438.9250,-,7.600000,Tone,82.5,82.5,023,NN,FM,12.50,,"Aldeia de Chãos - Santiago do Cacém",,,,
54,CQ0UMM,438.9250,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,"Cerro de São Miguel - Faro",,,,
55,CQ0UAR,438.9500,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,"Serra do Arestal - Aveiro",,,,
56,CQ0UHU,438.9500,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Monsanto - Lisboa (link para 10m**)",,,,
57,CQ0USO,438.9500,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,"Serra de Ossa - Redondo - Évora",,,,
58,CQ0UMU,438.9750,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,"Monte de Santa Luzia - Viseu",,,,
59,CQ0UMO,438.9750,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Serra de Montejunto",,,,
60,CQ0UPS,439.0000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,"Cabeço Urra - Pampilhosa da Serra",,,,
61,CQ0UPM,439.0250,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,"Serra dos Candeeiros",,,,
62,CQ0UREP,439.0250,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Pragal - Almada",,,,
63,CQ0UES,439.0500,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,"Torre - Serra da Estrela",,,,
64,CQ0USC,439.0500,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"S. da Carvalha - Arruda dos Vinhos",,,,
65,CQ0USR,439.0750,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,Santarém,,,,
66,CQ0UGMR,439.1000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,"Serra da Penha - Guimarães",,,,
67,CQ0UG,439.1000,-,7.600000,Tone,82.5,82.5,023,NN,FM,12.50,,"Serra da Gardunha - Castelo Branco",,,,
68,CQ0UGM,439.1250,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,"Monte Crasto - Gondomar",,,,
69,CQ0USI,439.1250,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Santa Eufémia - Serra de Sintra",,,,
70,CQ0UTRZ,439.1750,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,"Serra do Arestal - Aveiro",,,,
71,CQ0UMC,439.1750,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Cabeço de Montachique - Loures",,,,
72,CQ0UAG,439.2000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Alto das Gaeiras - Óbidos",,,,
73,CQ0UAST,439.2000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,"Monte N. Sra Assunção - Santo Tirso",,,,
74,CQ0UFL,439.2250,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,"Cerro de São Miguel - Olhão",,,,
75,CQ0ULR,439.2500,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,"Serra dos Candeeiros",,,,
76,CQ0UBA,439.2750,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,"Baltar - Paredes - Porto",,,,
77,CQ0UP,439.2750,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,"Serra de São Mamede - Portalegre",,,,
78,CQ0UCAS,439.2750,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Santuário da Peninha - Serra Sintra",,,,
79,CQ0UAV,439.3250,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,"Monte Cotão - Arcos de Valdevez",,,,
80,CQ0URVM,439.3250,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Monte Serves - Sta Eulália - Vialonga",,,,
81,CQ0UMJ,439.3500,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Serra de Montejunto",,,,
82,CQ0UIV,439.3750,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,"Cerro de São Miguel - Olhão",,,,
83,CQ0UAZ,439.4000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,"São Tomé - Oliveira de Azeméis",,,,
84,CQ0UARB,439.4000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Serra da Arrábida - Setúbal",,,,
85,CQ0UPRT,439.4250,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,"Monte da Virgem - V.N.Gaia",,,,
86,CQ0UCR,439.4250,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,"Casal Tomaz - Caldas da Rainha",,,,
87,CQ0UMF,439.4250,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,"Fóia - Serra de Monchique",,,,
