Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
71,CQ0EREP,433.925000,,0.000000,,,,023,NN,FM,,,IM58is,,,
72,CQ0ESSO,433.900000,,0.000000,,,,023,NN,FM,,,IM59ja,,,
73,CQ0FMC,51.990000,-,0.600000,Tone,,74.4,023,NN,FM,,,IM58jv,,,
74,CQ0FSNT,1297.500000,,0.000000,,,,023,NN,FM,,,IM58hs,,,
75,CQ0MSA,1298.075000,-,28.000000,,,,023,NN,FM,,,IM59qm,,,
76,CQ0MSB,1298.050000,-,28.000000,,,,023,NN,FM,,,IN50ne,,,
77,CQ0PBRG,144.800000,,0.000000,,,,023,NN,FM,,,IN51tm,,,
78,CQ0SAR,1259.200000,+,35.000000,,,,023,NN,FM,,,IN60eh,,,
79,CQ0TVAR,1280.000000,-,31.000000,,,,023,NN,FM,,,IM59ic,,,
80,CQ0UAB,438.800000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM59rp,,,
81,CQ0UAE,438.800000,-,7.600000,Tone,,123,023,NN,FM,,,IN50tt,,,
82,CQ0UAG,439.200000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM59kj,,,
83,CQ0UAI,438.875000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM59qm,,,
84,CQ0UAL,438.875000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM59qm,,,
85,CQ0UAM,438.800000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM58js,,,
86,CQ0UAR,438.950000,-,7.600000,Tone,,123,023,NN,FM,,,IN50ts,,,
87,CQ0UARB,439.400000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM58ml,,,
88,CQ0UARC,438.775000,-,7.600000,Tone,,131.8,023,NN,FM,,,IN50se,,,
89,CQ0UARS,439.100000,-,7.600000,Tone,,123,023,NN,FM,,,IN50ts,,,
90,CQ0UAST,439.200000,-,7.600000,Tone,,123,023,NN,FM,,,IN51sh,,,
91,CQ0UAT,438.675000,-,7.600000,Tone,,67,023,NN,FM,,,IN61hu,,,
92,CQ0UAV,439.325000,-,7.600000,Tone,,67,023,NN,FM,,,IN51sx,,,
93,CQ0UAZ,439.400000,-,7.600000,Tone,,123,023,NN,FM,,,IN50st,,,
94,CQ0UBA,439.275000,-,7.600000,Tone,,123,023,NN,FM,,,IN51te,,,
95,CQ0UBLA,439.125000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM57re,,,
96,CQ0UBRG,438.800000,-,7.600000,Tone,,67,023,NN,FM,,,IN51tm,,,
97,CQ0UCA,438.700000,-,7.600000,Tone,,131.8,023,NN,FM,,,IN50ti,,,
98,CQ0UCAN,438.650000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM59mk,,,
99,CQ0UCAR,439.250000,-,7.600000,Tone,,123,023,NN,FM,,,IN50vn,,,
100,CQ0UCAS,439.275000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM58gs,,,
101,CQ0UCB,439.250000,-,7.600000,Tone,,82.5,023,NN,FM,,,IM69gt,,,
102,CQ0UCD,438.725000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM59nn,,,
103,CQ0UCL,439.325000,-,7.600000,Tone,,123,023,NN,FM,,,IN50vn,,,
104,CQ0UCO,438.900000,-,7.600000,Tone,,114.8,023,NN,FM,,,IN60bt,,,
105,CQ0UCOI,439.150000,-,7.600000,Tone,,131.8,023,NN,FM,,,IN50se,,,
106,CQ0UCP,438.900000,-,7.600000,Tone,,82.5,023,NN,FM,,,IN50ne,,,
107,CQ0UCR,439.425000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM59kj,,,
108,CQ0UCSC,438.725000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM58hr,,,
109,CQ0UCVM,439.025000,-,7.600000,Tone,,67,023,NN,FM,,,IN51xp,,,
110,CQ0UDA,438.900000,-,7.600000,Tone,,114.8,023,NN,FM,,,IM68an,,,
111,CQ0UDE,439.200000,-,7.600000,Tone,,114.8,023,NN,FM,,,IN60fh,,,
112,CQ0UEC,438.875000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM58jt,,,
113,CQ0UES,439.050000,-,7.600000,Tone,,114.8,023,NN,FM,,,IN60eh,,,
114,CQ0UFL,439.225000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM67cc,,,
115,CQ0UFLX,439.100000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM58jp,,,
116,CQ0UFO,438.675000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM57qh,,,
117,CQ0UFV,439.400000,-,7.600000,Tone,,114.8,023,NN,FM,,,IN52qa,,,
118,CQ0UG,439.100000,-,7.600000,Tone,,82.5,023,NN,FM,,,IN60fb,,,
119,CQ0UGM,439.125000,-,7.600000,,,,023,NN,FM,,,IN51rd,,,
120,CQ0UGMR,439.100000,-,7.600000,Tone,,67,023,NN,FM,,,IN51uk,,,
121,CQ0UHU,438.950000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM58jr,,,
122,CQ0UIV,439.200000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM57xd,,,
123,CQ0UKE,438.825000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM59hc,,,
124,CQ0ULO,438.850000,-,7.600000,Tone,,131.8,023,NN,FM,,,IN50vc,,,
125,CQ0ULR,439.250000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM59nn,,,
126,CQ0UM,438.675000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM59le,,,
127,CQ0UMA,438.925000,-,7.600000,Tone,,123,023,NN,FM,,,IN61bf,,,
128,CQ0UMAR,438.825000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM57qh,,,
129,CQ0UMC,439.175000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM58jv,,,
130,CQ0UMF,439.425000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM57qh,,,
131,CQ0UMJ,439.350000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM59le,,,
132,CQ0UML,438.850000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM67cc,,,
133,CQ0UMM,438.925000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM67cc,,,
134,CQ0UMN,439.350000,-,7.600000,,,,023,NN,FM,,,IM58vp,,,
135,CQ0UMN*,439.350000,-,7.600000,Tone,,114.8,023,NN,FM,,,IM58vp,,,
136,CQ0UMO,438.975000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM59le,,,
137,CQ0UMR,439.150000,-,7.600000,Tone,,123,023,NN,FM,,,IN61bf,,,
